1785125820802575317 cluster=intermediate_queue_0 done=218 window_fps=18.19
1785125822207499298 cluster=intermediate_queue_0 done=219 window_fps=18.66
1785125823095317115 cluster=intermediate_queue_1 done=53 window_fps=4.47
1785125824901594919 cluster=intermediate_queue_0 done=220 window_fps=18.18
1785125825624723132 cluster=intermediate_queue_1 done=54 window_fps=4.45
1785125826926039529 cluster=intermediate_queue_0 done=221 window_fps=18.61
1785125827290427596 cluster=intermediate_queue_0 done=222 window_fps=18.43
1785125830325652908 cluster=intermediate_queue_0 done=223 window_fps=18.41
1785125832019831974 cluster=intermediate_queue_0 done=224 window_fps=17.33
1785125832369151266 cluster=intermediate_queue_0 done=225 window_fps=18.39
1785125833886882571 cluster=intermediate_queue_0 done=226 window_fps=18.75
1785125835944541017 cluster=intermediate_queue_0 done=227 window_fps=18.72
1785125837264755914 cluster=intermediate_queue_1 done=55 window_fps=4.56
1785125838482351270 cluster=intermediate_queue_0 done=228 window_fps=18.36
1785125838719090720 cluster=intermediate_queue_0 done=229 window_fps=19.85
1785125840745065220 cluster=intermediate_queue_0 done=230 window_fps=19.89
1785125841524281173 cluster=intermediate_queue_0 done=231 window_fps=19.72
1785125843825236745 cluster=intermediate_queue_0 done=232 window_fps=19.49
1785125844408938346 cluster=intermediate_queue_1 done=56 window_fps=4.51
1785125845167275792 cluster=intermediate_queue_0 done=233 window_fps=19.70
1785125847514602475 cluster=intermediate_queue_1 done=57 window_fps=4.49
1785125847731453016 cluster=intermediate_queue_0 done=234 window_fps=18.81
1785125847862254601 cluster=intermediate_queue_0 done=235 window_fps=20.91
1785125849812205561 cluster=intermediate_queue_0 done=236 window_fps=20.97
1785125849941173342 cluster=intermediate_queue_0 done=237 window_fps=21.19
1785125851880889070 cluster=intermediate_queue_0 done=238 window_fps=22.27
1785125853949077813 cluster=intermediate_queue_0 done=239 window_fps=21.89
1785125855220335055 cluster=intermediate_queue_0 done=240 window_fps=21.01
1785125856013510754 cluster=intermediate_queue_0 done=241 window_fps=21.69
1785125857312983594 cluster=intermediate_queue_0 done=242 window_fps=22.46
1785125857840925356 cluster=intermediate_queue_1 done=58 window_fps=4.57
1785125859381805880 cluster=intermediate_queue_0 done=243 window_fps=22.97
1785125860301996792 cluster=intermediate_queue_0 done=244 window_fps=22.24
1785125861420051606 cluster=intermediate_queue_0 done=245 window_fps=23.22
1785125862849536300 cluster=intermediate_queue_0 done=246 window_fps=22.51
1785125863269460640 cluster=intermediate_queue_1 done=59 window_fps=4.60
1785125864916368361 cluster=intermediate_queue_0 done=247 window_fps=22.76
1785125866301395721 cluster=intermediate_queue_1 done=60 window_fps=4.56
1785125867108392430 cluster=intermediate_queue_0 done=248 window_fps=21.88
1785125867455266837 cluster=intermediate_queue_0 done=249 window_fps=24.34
1785125869527849360 cluster=intermediate_queue_0 done=250 window_fps=22.15
1785125870668605056 cluster=intermediate_queue_0 done=251 window_fps=23.01
1785125871551545826 cluster=intermediate_queue_0 done=252 window_fps=22.21
1785125872312517169 cluster=intermediate_queue_1 done=61 window_fps=4.89
1785125873576750890 cluster=intermediate_queue_0 done=253 window_fps=22.12
1785125874701899736 cluster=intermediate_queue_0 done=254 window_fps=23.13
1785125875739223111 cluster=intermediate_queue_1 done=62 window_fps=5.02
1785125878685916455 cluster=intermediate_queue_0 done=255 window_fps=20.46
1785125879284674559 cluster=intermediate_queue_1 done=63 window_fps=4.99
1785125879350648990 cluster=intermediate_queue_0 done=256 window_fps=20.57
1785125882409271961 cluster=intermediate_queue_0 done=257 window_fps=19.13
1785125883247015344 cluster=intermediate_queue_1 done=64 window_fps=5.45
1785125886320612580 cluster=intermediate_queue_0 done=258 window_fps=17.82
1785125886514686903 cluster=intermediate_queue_0 done=259 window_fps=18.31
1785125887380408829 cluster=intermediate_queue_1 done=65 window_fps=5.68
1785125889914415919 cluster=intermediate_queue_1 done=66 window_fps=5.68
1785125890555101764 cluster=intermediate_queue_0 done=260 window_fps=16.48
1785125894403025162 cluster=intermediate_queue_0 done=261 window_fps=15.21
1785125894596825366 cluster=intermediate_queue_0 done=262 window_fps=16.17
1785125895399838457 cluster=intermediate_queue_1 done=67 window_fps=6.05
1785125897356350929 cluster=intermediate_queue_1 done=68 window_fps=6.46
1785125898609857128 cluster=intermediate_queue_0 done=263 window_fps=15.24
1785125899895251042 cluster=intermediate_queue_1 done=69 window_fps=6.46
1785125901291306009 cluster=intermediate_queue_0 done=264 window_fps=14.19
1785125902135321787 cluster=intermediate_queue_0 done=265 window_fps=14.72
1785125904846262072 cluster=intermediate_queue_1 done=70 window_fps=7.10
1785125906195240779 cluster=intermediate_queue_0 done=266 window_fps=13.51
1785125908316391990 cluster=intermediate_queue_1 done=71 window_fps=7.51
1785125909773505309 cluster=intermediate_queue_0 done=267 window_fps=12.56
1785125910848714303 cluster=intermediate_queue_1 done=72 window_fps=7.58
1785125911792174495 cluster=intermediate_queue_0 done=268 window_fps=12.56
1785125914296232864 cluster=intermediate_queue_0 done=269 window_fps=12.12
1785125915852208767 cluster=intermediate_queue_1 done=73 window_fps=8.27
1785125917025525920 cluster=intermediate_queue_0 done=270 window_fps=12.52
1785125919041413018 cluster=intermediate_queue_0 done=271 window_fps=12.09
1785125919204896794 cluster=intermediate_queue_1 done=74 window_fps=8.58
1785125921738945849 cluster=intermediate_queue_1 done=75 window_fps=8.66
1785125922056427479 cluster=intermediate_queue_0 done=272 window_fps=12.11
1785125924943365773 cluster=intermediate_queue_0 done=273 window_fps=12.43
1785125925602620869 cluster=intermediate_queue_0 done=274 window_fps=12.28
1785125927258387217 cluster=intermediate_queue_1 done=76 window_fps=8.74
1785125930089185023 cluster=intermediate_queue_1 done=77 window_fps=8.83
1785125930127499034 cluster=intermediate_queue_0 done=275 window_fps=12.13
1785125932652689831 cluster=intermediate_queue_1 done=78 window_fps=8.99
1785125933015178079 cluster=intermediate_queue_0 done=276 window_fps=12.43
1785125934534172983 cluster=intermediate_queue_0 done=277 window_fps=12.02
1785125937179928620 cluster=intermediate_queue_0 done=278 window_fps=12.44
1785125938142994266 cluster=intermediate_queue_1 done=79 window_fps=8.74
1785125940237373975 cluster=intermediate_queue_0 done=279 window_fps=12.32
1785125942204636598 cluster=intermediate_queue_0 done=280 window_fps=11.98
1785125942739367201 cluster=intermediate_queue_1 done=80 window_fps=8.67
1785125944789558418 cluster=intermediate_queue_1 done=81 window_fps=8.75
1785125945237944562 cluster=intermediate_queue_0 done=281 window_fps=12.29
1785125948002836751 cluster=intermediate_queue_0 done=282 window_fps=12.56
1785125948750907310 cluster=intermediate_queue_1 done=82 window_fps=9.00
1785125950031330757 cluster=intermediate_queue_0 done=283 window_fps=12.55
1785125952553197076 cluster=intermediate_queue_0 done=284 window_fps=12.55
1785125953715900245 cluster=intermediate_queue_1 done=83 window_fps=8.52
1785125955733715617 cluster=intermediate_queue_1 done=84 window_fps=8.60
1785125956596929819 cluster=intermediate_queue_0 done=285 window_fps=12.13
1785125957437188697 cluster=intermediate_queue_0 done=286 window_fps=12.50
1785125959730569860 cluster=intermediate_queue_1 done=85 window_fps=8.75
1785125960658822703 cluster=intermediate_queue_0 done=287 window_fps=12.43
1785125964105538497 cluster=intermediate_queue_1 done=86 window_fps=8.60
1785125964229270663 cluster=intermediate_queue_0 done=288 window_fps=12.22
1785125965583874007 cluster=intermediate_queue_0 done=289 window_fps=12.01
1785125966165612102 cluster=intermediate_queue_1 done=87 window_fps=8.68
1785125968623914404 cluster=intermediate_queue_0 done=290 window_fps=12.47
1785125970733811971 cluster=intermediate_queue_1 done=88 window_fps=8.75
1785125972189407598 cluster=intermediate_queue_0 done=291 window_fps=12.25
1785125973704704945 cluster=intermediate_queue_0 done=292 window_fps=12.25
1785125975635858047 cluster=intermediate_queue_1 done=89 window_fps=8.51
1785125976406708622 cluster=intermediate_queue_0 done=293 window_fps=12.24
1785125977655091998 cluster=intermediate_queue_1 done=90 window_fps=8.58
1785125979322491061 cluster=intermediate_queue_0 done=294 window_fps=12.28
1785125981606140821 cluster=intermediate_queue_1 done=91 window_fps=8.83
1785125981852758116 cluster=intermediate_queue_0 done=295 window_fps=12.11
1785125984381268358 cluster=intermediate_queue_0 done=296 window_fps=12.26
1785125985960819850 cluster=intermediate_queue_1 done=92 window_fps=8.59
1785125987925220147 cluster=intermediate_queue_0 done=297 window_fps=12.02
1785125988501608634 cluster=intermediate_queue_1 done=93 window_fps=8.59
1785125989107845293 cluster=intermediate_queue_0 done=298 window_fps=12.28
1785125992445260070 cluster=intermediate_queue_0 done=299 window_fps=12.03
1785125992942698670 cluster=intermediate_queue_1 done=94 window_fps=8.76
1785125995142648520 cluster=intermediate_queue_0 done=300 window_fps=12.45
1785125997013091297 cluster=intermediate_queue_0 done=301 window_fps=12.13
1785125997345945583 cluster=intermediate_queue_1 done=95 window_fps=8.79
1785125999370367998 cluster=intermediate_queue_1 done=96 window_fps=8.79
1785126000036172612 cluster=intermediate_queue_0 done=302 window_fps=12.19
1785126003315114429 cluster=intermediate_queue_1 done=97 window_fps=8.80
1785126003670552532 cluster=intermediate_queue_0 done=303 window_fps=12.17
1785126005192688991 cluster=intermediate_queue_0 done=304 window_fps=12.12
1785126007741016238 cluster=intermediate_queue_1 done=98 window_fps=8.88
1785126008242689752 cluster=intermediate_queue_0 done=305 window_fps=12.12
